0.1,35.617073511479596,0.986,0.99,0.988,0.988
0.2,29.610237048777535,0.978,0.981,0.979,0.984
0.3,26.111075601250594,0.966,0.969,0.963,0.976
0.4,23.643210861858293,0.956,0.959,0.952,0.962
0.5,21.74335721216723,0.942,0.95,0.941,0.953
0.6,20.2046336016207,0.934,0.937,0.93,0.942
0.7,18.9162698195226,0.922,0.929,0.921,0.933
0.8,17.811837289549693,0.913,0.919,0.911,0.921
0.1,35.818634439393,0.99,0.99,0.99,0.99
0.2,29.813899120171918,0.97,0.97,0.97,0.97
0.3,26.317976439421535,0.94,0.96,0.94,0.97
0.1,35.818634439393,0.93,0.85,0.93,0.93
0.2,29.813899120171918,0.93,0.81,0.91,0.91
0.3,26.317976439421535,0.92,0.78,0.9,0.89
0.4,23.85435149238846,0.91,0.76,0.87,0.87
0.5,21.95956944913165,0.9,0.72,0.86,0.85
0.6,20.426566456044373,0.89,0.68,0.83,0.84
0.7,19.14439164999876,0.87,0.69,0.81,0.8
0.8,18.046448934280523,0.86,0.69,0.8,0.79
0.9,17.089522586097768,0.84,0.64,0.79,0.79
1.0,16.243929256011747,0.84,0.64,0.79,0.77
1.2,14.807092077523357,0.81,0.58,0.78,0.74
1.4,13.621802273575945,0.8,0.56,0.74,0.73
1.5,13.100977490529585,0.79,0.56,0.74,0.72
1.6,12.619542882864764,0.78,0.56,0.71,0.71
1.7,12.172584675794862,0.78,0.55,0.7,0.71
1.8,11.756035232489022,0.78,0.53,0.68,0.7
1.9,11.36649142009888,0.78,0.53,0.65,0.7
2,11.001078988305235,0.77,0.52,0.65,0.69
2.2,10.33320191400885,0.76,0.51,0.63,0.67
2.5,9.461225690252277,0.73,0.47,0.62,0.61
