0.01,43.86301316340407,1.0,0.961,0.999,0.948
0.02,37.843085747669015,1.0,0.963,0.992,0.948
0.03,34.322389776145485,1.0,0.961,0.984,0.949
0.04,31.82520027849004,0.998,0.958,0.981,0.947
0.05,29.889040303290013,0.996,0.96,0.977,0.946
0.06,28.307909459946757,0.994,0.96,0.971,0.946
0.07,26.97192000175191,0.993,0.957,0.969,0.944
0.08,25.815477846047834,0.991,0.957,0.969,0.945
0.09,24.79627255908488,0.989,0.957,0.964,0.939
0.1,23.885413961392242,0.985,0.956,0.961,0.936
0.11,23.062294950889836,0.983,0.956,0.959,0.932
0.12,22.311699096977964,0.979,0.95,0.955,0.927
0.125,21.959875752201512,0.976,0.948,0.953,0.925
0.13,21.622069974315277,0.975,0.947,0.953,0.924
0.14,20.984423702229375,0.965,0.942,0.945,0.916
0.15,20.39163757551134,0.961,0.941,0.939,0.915
0.16,19.83796875297485,0.958,0.935,0.938,0.912
0.17,19.31871912237168,0.956,0.931,0.933,0.906
0.18,18.829996106537088,0.952,0.927,0.926,0.9
0.19,18.368538230223834,0.949,0.925,0.923,0.897
0.2,17.931585484479772,0.947,0.922,0.918,0.885
0.21,17.516781355365094,0.943,0.918,0.916,0.875
0.22,17.12209766720367,0.934,0.91,0.904,0.871
0.24,16.386282443416267,0.921,0.899,0.894,0.861
0.26,15.712548275933639,0.901,0.886,0.878,0.846
0.28,15.091875145262764,0.886,0.871,0.868,0.836
0.3,14.51710345455751,0.873,0.864,0.858,0.82
0.32,13.982452961995547,0.85,0.849,0.842,0.795
0.33,13.728659462644893,0.843,0.839,0.837,0.789
0.34,13.483187860144575,0.836,0.833,0.827,0.781
0.36,13.01537776902151,0.821,0.817,0.816,0.764
0.4,12.161427382244863,0.797,0.789,0.788,0.736
0.42,11.77009576406895,0.786,0.778,0.779,0.723
0.44,11.399663603355773,0.776,0.761,0.76,0.705
0.46,11.048336295541159,0.759,0.748,0.741,0.693
0.47,10.879338583163054,0.75,0.741,0.736,0.688
0.49,10.553784539317734,0.733,0.724,0.719,0.672
0.52,10.094192735390289,0.713,0.704,0.697,0.655
0.55,9.665768422030727,0.688,0.687,0.67,0.639
0.58,9.265306468978972,0.671,0.659,0.65,0.622
0.6,9.012499167081089,0.658,0.64,0.635,0.609
0.62,8.770182489902298,0.642,0.62,0.62,0.59
0.64,8.537708248056305,0.624,0.602,0.607,0.57
0.68,8.099974757365024,0.599,0.581,0.578,0.549
0.7,7.893680288148631,0.582,0.568,0.564,0.541
0.75,7.41099063640091,0.555,0.551,0.538,0.505
0.8,6.970695640570276,0.521,0.522,0.508,0.466
0.85,6.567661541108864,0.49,0.496,0.486,0.442
0.9,6.19759166379513,0.459,0.473,0.456,0.421
1.0,5.542334968776083,0.41,0.407,0.401,0.378
1.1,4.9816397214451555,0.363,0.365,0.365,0.347
1.2,4.4980298608694245,0.33,0.324,0.323,0.306
1.3,4.078059830203926,0.3,0.288,0.284,0.273
1.4,3.7111792620648463,0.274,0.26,0.259,0.245
1.5,3.388976743238725,0.242,0.241,0.239,0.223
1.6,3.1046577535866717,0.216,0.222,0.214,0.205
1.7,2.8526733260430976,0.199,0.203,0.192,0.194
1.8,2.6284491937928562,0.185,0.181,0.175,0.178
1.9,2.4281839991485232,0.169,0.165,0.163,0.166
2.0,2.248696227978802,0.158,0.154,0.153,0.152
2.1,2.0873063105625365,0.147,0.143,0.14,0.14
