0.05,41.63427085015145,0.99,0.681,0.989,0.548
0.1,35.617073511479596,0.984,0.683,0.984,0.542
0.2,29.610237048777535,0.973,0.702,0.973,0.569
0.3,26.111075601250594,0.961,0.746,0.957,0.593
0.4,23.643210861858293,0.943,0.74,0.941,0.615
0.5,21.74335721216723,0.929,0.749,0.927,0.621
0.6,20.2046336016207,0.916,0.74,0.914,0.621
0.7,18.9162698195226,0.904,0.742,0.894,0.639
0.8,17.811837289549693,0.894,0.734,0.891,0.658
0.9,16.84826834192398,0.888,0.726,0.88,0.658
1,15.99600558549307,0.875,0.745,0.87,0.667
1.1,15.233866103543194,0.865,0.744,0.855,0.673
1.2,14.546143611268395,0.855,0.74,0.84,0.682
1.3,13.920868953720957,0.845,0.753,0.838,0.704
1.4,13.348712643805433,0.842,0.753,0.832,0.699
1.5,12.822263634885989,0.836,0.756,0.824,0.709
1.6,12.335538968024236,0.826,0.767,0.812,0.721
1.7,11.883640689880647,0.816,0.762,0.804,0.728
1.8,11.462509856774885,0.809,0.756,0.793,0.72
1.9,11.068746377393614,0.798,0.752,0.784,0.718
2,10.69947461202196,0.787,0.747,0.773,0.724
2.2,10.024937962108025,0.769,0.75,0.756,0.73
2.4,9.423051067350084,0.756,0.742,0.74,0.723
2.6,8.881801908455902,0.739,0.728,0.713,0.723
2.8,8.391874499191562,0.722,0.721,0.691,0.719
3.0,7.945901330161569,0.704,0.704,0.669,0.703
3.2,7.537957297943871,0.691,0.683,0.652,0.688
3.4,7.163207455806182,0.665,0.671,0.63,0.677
3.6,6.817655856141591,0.644,0.667,0.607,0.667
4,6.201308411265483,0.592,0.632,0.561,0.639
4.4,5.667850867891728,0.554,0.586,0.521,0.606
5,4.9902711834663736,0.49,0.525,0.462,0.556
